ID;Ano;DOI;Study;Localização;Experimental;Controle;Classe  de Solo WRB/USDA ;Classe de solo SiBSC;Profundidade (cm);Variavel;m_e;sd_e;n_e;m_c;sd_c;n_c;ln;Unidade;Objetivo Resumido;Observações importantes
10;2020;10.1016/j.geoderma.2019.114159;Veloso et al. (2020);Rio Grande do Sul (Brasil);No-tillage;Conventional Tillage (solo degradado);Typic Haplorthox;Latossolo Vermelho ou Vermelho-Amarelo (classe já traduzida);0–20; Soil Organic Carbon (SOC);15,6;0,23;3;10,6;0,34;3;0,39;g/kg⁻¹;Avaliar acúmulo de C e agregação sob SPD vs. preparo;Estudo de longa duração no (Brasil) (30 anos). Resultados destacam papel dos fungos na agregação e acúmulo de C. Estudo sofisticado com fracionamento do carbono.
11;2019;0.1016/j.still.2019.04.018;Rheinheimer et al. (2019);Paraná (Brasil);No-tillage;Conventional Tillage c/ adubaçãoo (30 anos);Typic Haplorthox;Latossolo Vermelho ou Vermelho-Amarelo;0–10;Available Total Phosphorus (ATP);10;1;3;4;0,05;3;0,92;mg kg⁻¹;Examinar a distribuição de P após 30 anos de SPD vs PC;Apresenta forte contraste entre SPD e Conventional Tillage em fósforo total disponível. Valor do tratamento mais que o dobro do controle.
11;2019;10.1016/j.still.2019.04.018;Rheinheimer et al.;Paraná, Brasil;SPD  + adubaçãoo (30 anos);PC  + adubaçãoo (30 anos);Latossolo Vermelho;Latossolo argiloso;0–10;Available Magnesium (AMg);3,2;0,25;3;2,5;0,2;3;0,25;cmolc/dm³;Examinar distribuição de nutrientes após 30 anos de SPD vs. PC.;"AMg significativamente maior no SPD (28% superior); valores obtidos por KCl 1 mol/L."
13;2020;10.1016/j.still.2020.104734;Eden et al.;Velestino (Grécia);No-tillage;Conventional Tillage;Chromic Cambisol;Cambissolo Vermelho-Amarelo;5–10; Soil Organic Carbon (SOC);1,71;0,1;4;1,22;0,1;4;0,34;(%);Idem;Idem
13;2020;10.1016/j.still.2020.104734;Eden et al.;Velestino (Grécia);No-tillage;Conventional Tillage;Chromic Cambisol;Cambissolo Vermelho-Amarelo;5–10;Soil pH;6,9;0,02;4;7,06;0,05;4;-0,02;KCl;Idem;Idem
15;2018;10.1371/journal.pone.0199846;Lu et al.;Planalto do Loess (China);No-tillage;Conventional Tillage;Loess franco-arenoso (?);Neossolo ou Cambissolo em Loess;0–20; Soil Organic Carbon (SOC);2,69;1,05;3;0,84;1,04;3;1,16;t ha⁻¹ ano⁻¹;Avaliar balanço de carbono em rotação trigo-milho sob diferentes sistemas de preparo;Diferença expressiva entre COS no tratamento com palha e convencional. Desvio padrão elevado indica variabilidade no sistema.
17;2023;Idem;Gu et al. ;Jiangxi (China);No-tillage;Pousio de inverno com araçãoo (WF, conv.);Ultisol;Argissolo Álico ou Distrófico;0–20; Soil Organic Carbon (SOC);22;3,04;3;17,01;0,41;3;0,26;g/kg⁻¹;Idem acima – efeitos no teor de matéria orgânica do solo (MOS);Idem
17;2023;10.3390/agronomy13020376;Gu et al.;Jiangxi (China);Adubo verde (palhada) incorporada;Pousio de inverno (sem cultivo) â€“ manejo convencional;Ultisol;Argissolo Álico ou Distrófico;0–20;Available Total Phosphorus (ATP);8,84;3,2;3;8,55;3,06;3;0,03;mg kg⁻¹;Verificar se adubos verdes aumentam disponibilidade de P e absorção pelo amendoim;Efeitos de adubos verdes e SPD bem evidenciados. COS e Available Total Phosphorus (ATP)aumentaram. Tratamento com NT apresentou valores superiores.
17;2023;10.3390/agronomy13020376;Gu et al.;Jiangxi (China);Adubo verde incorporado;Pousio com araçãoo (WF);Ultisol (Argissolo);Argissolo Álico;0–20;Available Magnesium (AMg);1,75;0,05;3;1,32;0,07;3;0,28;cmolc/dm³;Verificar se adubos verdes melhoram a disponibilidade de Mg no solo sob amendoim.;AMg foi 32,5% maior com adubo verde incorporado vs. pousio com aração.
18;2022;10.1038/s41598-022-11106-x;Sharma et al.;Pujab (Índia);No-tillage;Convencional monocultura;Typic Ustochrept;Cambissolo Háplico eutrófico (região semiárida);0–15;Available Total Phosphorus (ATP);2,67;0,04;6;1,68;0,03;6;0,46;mg kg⁻¹;Elucidar a distribuição das diferentes frações de fósforo (inorgânico e orgânico) nos agregados do solo e como essas frações afetam a disponibilidade de fósforo;Resultados robustos com 6 repetições. Valores de fósforo total disponível significativamente maiores no SPD.
18;2022;10.1038/s41598-022-11106-x;Sharma et al.;Punjab (Índia);Plantio direto;Conservador convencional;Typic Ustochrept;Cambissolo Háplico;0–15;Total Nitrogen (TN);1,25;0,05;6;0,98;0,04;6;0,24;g/kg⁻¹;Avaliar distribuição de P e N em agregados sob manejo conservacionista e convencional.;"NT aumentou o TN principalmente em agregados macro e micro; ganho >25%."
19;2018;10.3390/su10040961;Memon et al.;Jiangsu (China) (sistema arroz-trigo);Preparo Reduzido  + 60% palha (RTÂ 60%);Preparo Reduzido sem palha (RTÂ 0%);Gleysoil;Gleissolo Háplico Ta ou Gleissolo Ti (SiBCS);0–30; Soil Organic Carbon (SOC);25,12;1,11;3;21,1;0,64;3;0,17;g/kg⁻¹;Investigar em 2 anos o impacto de porcentagens de palha incorporada (0%, 30%, 60%, 100%) sob preparo reduzido (RT) vs. convencional (CT) no rendimento do arroz e na qualidade do solo (SOC, N total, densidade, etc.).;Efeito do uso de palha sob preparo reduzido. Elevou COS e reduziu densidade. Resultados relevantes para clima tropical.
23;2017;Idem;Auler et al.;Campinas, SP (Brasil);No-tillage ;Conventional Tillage;Typic Dystrudept;Cambissolo hápico distrófico;0–10; Soil Organic Carbon (SOC);16,8;0,34;8;11,2;0,22;8;0,41;g/kg⁻¹;Idem;Idem
23;2017;Idem;Auler et al.;Campinas, SP (Brasil);No-tillage ;Conventional Tillage;Typic Dystrudept;Cambissolo hápico distrófico;0–10;Available Magnesium (AMg);1,15;0,05;4;0,8;0,04;4;0,36;cmolc/dm³;Idem;Idem
23;2017;Idem;Auler et al.;Campinas, SP (Brasil);No-tillage ;Conventional Tillage;Typic Dystrudept;Cambissolo hápico distrófico;0–10;Soil pH;4,8;0,1;4;4,2;0,1;4;0,13;CaCl2;Idem;Idem
24;2021;Idem;Vizioli et al.;Ponta Grossa - PR (Brasil);No-tillage ;Conventional Tillage;Rhodic Ferralsol;Latossolo Vermelho Distrófico Típico;0–15; Soil Organic Carbon (SOC);31,95;2,65;4;32,41;1,94;4;-0,01;g/dm³;Idem;"Método de Walkley-Black; sem SD reportado diretamente"
24;2021;Idem;Vizioli et al.;Ponta Grossa - PR (Brasil);No-tillage ;Conventional Tillage;Rhodic Ferralsol;Latossolo Vermelho Distrófico Típico;0–15;Available Potassium (AK);1,32;0,11;4;0,25;0,03;4;1,66;cmolc dm⁻³;Idem;Determinado com Mehlich-1
24;2021;Idem;Vizioli et al.;Ponta Grossa - PR (Brasil);No-tillage ;Conventional Tillage;Rhodic Ferralsol;Latossolo Vermelho Distrófico Típico;0–15;Available Magnesium (AMg);0,24;0,02;4;0,25;0,01;4;-0,04;cmolc dm⁻³;Idem;Determinado com KCl 1 mol L⁻¹
24;2021;Idem;Vizioli et al.;Ponta Grossa - PR (Brasil);No-tillage ;Conventional Tillage;Rhodic Ferralsol;Latossolo Vermelho Distrófico Típico;0–15;Available Total Phosphorus (ATP);9,8;1,05;4;4,3;0,9;4;0,82;mg dm⁻³;Avaliar os efeitos de sistemas de preparo do solo de longa duração sobre a qualidade física do solo e a produtividade de culturas em Ferralsol;Determinado com extrator Mehlich-1
24;2021;10.1016/j.still.2021.104935;Vizioli et al.;Ponta Grossa - PR (Brasil);No-tillage ;Conventional Tillage;Rhodic Ferralsol;Latossolo Vermelho Distrófico Típico;0–15;Soil pH;4,8;0,1;4;4,65;0,1;4;0,03;CaCl₂;Avaliar os efeitos de sistemas de preparo do solo de longa duração sobre a qualidade física do solo e a produtividade de culturas em Ferralsol;"Valores de pH obtidos com extrator CaCl₂; todos os sistemas avaliados (CT, ST e NT); sem desvio padrão reportado diretamente"
25;2020;10.3390/agronomy10020160;Wei et al. (2020);Loess Plateau (China);Lentilâ€“Wheatâ€“Maize;Wheatâ€“Maizeâ€“Potato;Cambissolo;Loess;0–10; Soil Organic Carbon (SOC);6,81;4,84;12;6,92;3,86;12;-0,02;g/kg⁻¹;Avaliar os efeitos de diferentes rotações de culturas na SOC, SWC, densidade e pH em regiões áridas.;"Amostra composta de 12 parcelas por rotação, amostradas até 1m; sem uso de irrigação."
25;2020;10.3390/agronomy10020160;Wei et al. (2020);Loess Plateau (China);Lentilâ€“Wheatâ€“Maize;Wheatâ€“Maizeâ€“Potato;Cambissolo;Loess;0–10;Soil pH;8,42;0,12;12;8,5;0,15;12;-0,01; CaCl₂;Avaliar os efeitos de diferentes rotações de culturas na SOC, SWC, densidade e pH em regiões áridas.;Valores de pH altos em ambas rotações, com pequenas diferenças significativas.
26;2024;Idem;Manhas et al. (2024);Udhampur (Índia);No-tillage;Reduced Tillage;Typic Haplustept;Cambissolo hápico eutrófico;0–15;Available Potassium (AK);10,14;0,27;3;9,12;0,23;3;0,11;kg ha⁻¹;;
26;2024;10.1186/s12870-024-05753-7;Manhas et al. (2024);Udhampur (Índia);No-tillage;Reduced Tillage;Typic Haplustept;Cambissolo hápico eutrófico;0–15;Available Total Phosphorus (ATP);9,56;0,32;3;8,71;0,21;3;0,09;kg ha⁻¹;Avaliar o impacto de diferentes sistemas de preparo e ní­veis de nutrientes sobre a produtividade de Brassica.;ZT apresentou maiores teores de P absorvido na semente da Brassica.
27;2021;"10.3390/
plants10081650";Islam et al.;Paquistão;No-tillage;Reduced Tillage;Calcareous floodplain soil;Gleissolo Háplico;0–15; Soil Organic Carbon (SOC);5,93;0,26;3;5,26;0,26;3;0,12;t ha⁻¹ ano⁻¹;Avaliar o efeito do preparo e retenção de resíduos sobre a mineralização de C e N do solo.;Valores após 3 anos. SOC extraído da Tabela 3.
28;2021;Idem;Zhang et al. (2021);Binhai, Tianjin (China);Calcareous floodplain soil;Gleissolo Hí¡plico;Fluvisol;Gleissolo sódico (salino);0–30; Soil Organic Carbon (SOC);17,4;1,39;3;10,4;0,83;3;0,51;g/kg⁻¹;Idem;CM+SM aumentou SOM em ~67% comparado ao TT.
28;2021;Idem;Zhang et al. (2021);Binhai, Tianjin (China);Minimum Tillage  + 50% residuo;Conventional Tillage;Fluvisol;Gleissolo sódico (salino);0–30;Available Potassium (AK);27,08;0,63;3;13,54;0,58;3;0,69;mg/kg;Idem;"Valor inicial no solo = 63,2 mg/kg; CM contém 13,54 g/kg de K."
28;2021;Idem;Zhang et al. (2021);Binhai, Tianjin (China);Minimum Tillage  + 50% residuo;Conventional Tillage;Fluvisol;Gleissolo sódico (salino);0–30;Available Total Phosphorus (ATP);11,35;1,14;3;5,11;3,14;3;0,8;mg/kg;Idem;"Valor inicial no solo = 31,4 mg/kg (Olsen); CM contém 11,35 g/kg de P."
28;2021;Idem;Zhang et al. (2021);Binhai, Tianjin (China);Minimum Tillage  + 50% residuo;Conventional Tillage;Fluvisol;Gleissolo sódico (salino);0–30;Soil pH;8,21;0,12;3;8,09;0,13;3;0,02;CaCl₂;Idem;Pequena redução no pH com aplicação de adubo.
29;2023;10.3390/agronomy13051377;Shiyan, Hubei, (China);Shiyan, Hubei (China);Minimum Tillage  + 50% residuo;Conventional Tillage;Fluvisol;Fluvisol (classe geral);0–20; Soil Organic Carbon (SOC);21,3;1,52;3;18,47;0,59;3;0,14;g/kg⁻¹;Avaliar o impacto de culturas de cobertura sobre a comunidade de nematoides e bactérias em diferentes classes de agregados do solo.;SOC aumentou sob cultivo com cobertura, exceto nos microagregados. Maior influência observada nos microagregados
30;2021;Idem;Deficit saline water irrigation;Panipat, Haryana (Índia);Cover crop (CC);No cover crop (CK);Sodic Haplustepts (salino);Cambissolo sódico (salino);0–15; Soil Organic Carbon (SOC);4,2;0,25;4;4,23;0,25;4;-0,01;g/kg⁻¹;Idem;Redução não significativa com ZT/RT.
30;2021;Idem;Deficit saline water irrigation;Panipat, Haryana (Índia);RT/60% CWR/Mulch;CT/100% Sem Mulch;Sodic Haplustepts (salino);Cambissolo sódico (salino);0–15;Available Potassium (AK);226,2;5,69;4;214,4;5,69;4;0,05;mg/kg;Idem;ZT e RT elevaram K na camada superficial.
30;2021;Idem;Deficit saline water irrigation;Panipat, Haryana (Índia);RT/60% CWR/Mulch;CT/100% CWR/Sem Mulch;Sodic Haplustepts (salino);Cambissolo sódico (salino);0–15;Available Total Phosphorus (ATP);23,3;1,06;4;19,4;1,06;4;0,18;mg/kg;Idem;RT favoreceu maior disponibilidade de P.
30;2021;10.1038/s41598-020-80364-4;Deficit saline water irrigation;Panipat, Haryana (Índia);RT/60% CWR/Mulch;CT/100% CWR/Sem Mulch;Sodic Haplustepts (salino);Cambissolo sódico (salino);0–15;Soil pH;7,76;0,03;4;7,96;0,03;4;-0,03;CaCl₂;Avaliar práticas conservacionistas (irrigação salina deficitária, semeadura direta, cobertura) em atributos do solo e produtividade.;pH diminui levemente com RT e ZT.
31;2020;Idem;Montesdeoca et al.;Andes (Equador);RT/60% CWR/Mulch;CT/100% Sem Mulch;Mollisol (Entic Durustoll);Neossolo Litólico ou Cambissolo;0–05;Available Potassium (AK);16,8;0,34;8;11,2;0,22;8;0,41;cmol/kg;Tendência de maior acúmulo de K sob NT devido à ausência de revolvimento.;"Efeito do sistema de manejo significativo sobre K; diferença observada na camada superficial."
31;2020;Idem;Montesdeoca et al.;Andes (Equador);No-tillage ;Conventional Tillage;Mollisol (Entic Durustoll);Neossolo Litólico ou Cambissolo;0–05;Available Total Phosphorus (ATP);124;31;8;93;23,25;8;0,29;mg/kg;Avaliar os efeitos iniciais da transição CT → NT sobre características químicas e físicas do solo em cultivo de feijão.;NT apresentou maior eficiência de uso do fósforo, com menor consumo e maior produtividade.
31;2020;Idem;Montesdeoca et al.;Andes (Equador);No-tillage ;Conventional Tillage;Mollisol (Entic Durustoll);Neossolo Litólico ou Cambissolo;0–05;Soil pH;7,1;0,14;8;7,4;0,15;8;-0,04;-;Avaliar os efeitos iniciais da transição CT → NT sobre características químicas e físicas do solo em cultivo de feijão.;"pH ligeiramente menor sob NT, associado à decomposição de resíduos; diferença significativa."
32;2023;10.1007/s11104-022-05459-5; Kroschewski et al.;Alemanha;No-tillage ;Conventional Tillage;Arenoso;Neossolo Quartzarênico;0–20; Soil Organic Carbon (SOC);6,8;0,26;2;6,4;0,22;2;0,06;g/kg⁻¹;Avaliar o sequestro de carbono no solo sob diferentes rotações, níveis de N e manejo da palha.;"Estudo com dados de 24 anos; aumento do C orgânico com retorno de palha; fertilização N não impactou SOC significativamente."
33;2023;Idem;Butkeviciene et al.;Idem;Rotaçãoo com retorno de palha e adubaçãoo N;Rotaçãoo com retirada de palha, mesmo ní­vel de N;Idem;Idem;0–30; Soil Organic Carbon (SOC);1,72;0,06;4;1,42;0,03;4;0,19;(%);Avaliar efeitos de diferentes sistemas de manejo e uso de bioestimulantes sobre propriedades do solo.;Conteúdo de carbono significativamente maior no plantio direto com bioestimulante.
33;2023;Idem;Butkeviciene et al.;Idem;Rotaçãoo com retorno de palha e adubaçãoo N;Idem;Idem;Idem;0–30;Available Total Phosphorus (ATP);8,94;0,58;4;6,87;0,52;4;0,26;mg/kg;Idem;Plantio direto com bioestimulante aumentou o Available Total Phosphorus (ATP)no solo em relação ao preparo convencional.
33;2023;10.3390/agronomy13010027;Butkeviciene et al.;Lublin (Polônia);Rotaçãoo com retorno de palha e adubaçãoo N;Idem;Luvissolo (Luvisol);Argissolo Vermelho-Amarelo;0–30;Soil pH;6,35;0,03;4;6,19;0,04;4;0,03;;Avaliar efeitos de diferentes sistemas de manejo e uso de bioestimulantes sobre propriedades do solo.;"Leve aumento do pH com plantio direto e bioestimulante; diferença estatística significativa."
34;2019;Idem;Mayer et al.,;Martonvásár (Hungria);No-tillage ;Conventional Tillage;Chernozem húmico;Nitossolo Húmico;0–25; Soil Organic Carbon (SOC);2,72;0,05;2;2,31;0,05;2;0,16;(%);Idem;"Humus aumentou significativamente com rotação; valor mais baixo observado em monocultura contínua de milho."
34;2019;Idem;Mayer et al.,;Martonvásár (Hungria);Rotaçãoo milho-alfafa;Monocultura milho;Chernozem húmico;Nitossolo Húmico;0–25;Available Potassium (AK);244,5;13,09;2;259,8;19,96;2;-0,06;mg/kg;Idem;Diferença estatística não significativa, mas há leve redução de K sob rotação.
34;2019;Idem;Mayer et al.,;Martonvásár (Hungria);Rotaçãoo milho-alfafa;Monocultura milho;Chernozem húmico;Nitossolo Húmico;0–25;Available Total Phosphorus (ATP);61,27;6,37;2;85,85;9,22;2;-0,34;mg/kg;Idem;Available Total Phosphorus (ATP)menor sob rotação, estatisticamente significativo para CR3.
34;2019;10.3390/agronomy9120878;Mayer et al.,;Martonvásár (Hungria);Rotaçãoo milho-alfafa;Monocultura milho;Chernozem húmico;Nitossolo Húmico;0–25;Soil pH;5,13;0,1;2;5,65;0,14;2;-0,1;KCI;Avaliar impacto de diferentes rotações de culturas na diversidade de bactérias do solo.;"O pH não variou significativamente entre os tratamentos; maior variação em humus e P disponíveis."
35;2024;10.1007/s00374-023-01773-y;Fritze et al.;Finlândia;Rotaçãoo milho-alfafa;Monocultura milho;Protovertic Luvisol;Argissolo Vermelho-Amarelo;0–10; Soil Organic Carbon (SOC);2,46;0,11;5;2,01;0,09;5;0,2;(%);Avaliar a influência da rotação diversificada de culturas sob SPD no microbioma e propriedades do solo.;"TOC aumentado sob SPD e diversificação; ensaio de longo prazo (2008–2020); dados em 0–10 cm e comparações em 2018."
35;2024;Idem;Fritze et al.;Finlândia;No-tillage ;Conventional Tillage (ploughing);Protovertic Luvisol;Argissolo Vermelho-Amarelo;0–10;Soil pH;6,32;0,05;5;6,11;0,07;5;0,03;CaCl₂;Avaliar a influência da rotação diversificada de culturas sob SPD no microbioma e propriedades do solo.;pH mais alto sob SPD, indicando possível melhor estabilidade biológica e química do solo.
36;2022;10.3390/agronomy12061442;Duan et al. (2022);Hebei (China);No-tillage ;Conventional Tillage (ploughing);Não informado;Cambissolo Háplico;0–10; Soil Organic Carbon (SOC);11,56;0,2;4;7,96;0,19;4;0,37;g/kg⁻¹;Avaliar o efeito de diferentes manejos de preparo e retorno de resíduos sobre mineralização e acúmulo de SOC.;"SOC aumentou 45% com SPD+palha; análise de mineralização em laboratório confirmou menor decomposição no SPD."
36;2022;10.3390/agronomy12061442;Duan et al. (2022);Hebei (China);No-tillage ;Preparo rotativo sem retorno de palha;Cambissolo;Cambissolo Háplico;0–20;Total Nitrogen (TN);1,43;0,06;3;1,23;0,05;3;0,15;g/kg⁻¹;Efeitos do preparo e retorno de resíduos no acúmulo de N e mineralização.;Maior N total com palhada + SPD. Aumento de 16.3%.
37;2020;Idem;Tian et al.;Chile;Plantio direto  + palha;Convencional sem palha;Mollisol (volcanic);Nitossolo;0–50;Available Total Phosphorus (ATP);124;2,56;3;93;1,2;3;0,29;mg/kg;Avaliar os efeitos iniciais da transição para plantio direto em solo vulcânico com feijão.;Eficiência no uso de fósforo foi maior com NT.
37;2020;Idem;Tian et al.;Chile;No-tillage ;CT (conv. tillage);Mollisol (volcanic);Nitossolo;0–50;Soil pH;5,1;0,07;3;5,6;0,08;3;-0,09;CaCl₂;Avaliar os efeitos iniciais da transição para plantio direto em solo vulcânico com feijão.;Redução do pH com NT associada à decomposição de resíduos vegetais.
38;2022;Idem;Rodrigues et al.;Texas (EUA);No-tillage ;CT (conv. tillage);Udifluventic Haplustept (USDA);Cambissolo Flúvico (SiBCS);0–20; Soil Organic Carbon (SOC);8,6;0,4;3;6,2;0,5;3;0,33;g/kg⁻¹;Investigar se práticas combinadas de carbono, cobertura e não revolvimento promovem maior conteúdo de COS.;"Melhoria significativa de COS com não revolvimento e cobertura; diferenças expressivas estatisticamente entre tratamentos para as variáveis químicas."
39;2024;10.3390/agronomy14071418;Zhang et al.;Hainan (China);No-tillage ;Plantio convencional sem cobertura;Tidal sand–mud;Neossolo Quartzarênico;0–10; Soil Organic Carbon (SOC);21,28;2,84;6;21,99;1,56;6;-0,03;g/kg⁻¹;Avaliar os efeitos de diferentes resíduos de café (casca e folhas) sobre fisiologia e solo em mudas de café;Não houve aumento significativo no SOM com o uso de casca ou folhas de café.
39;2024;10.3390/agronomy14071418;Zhang et al.;Hainan (China);Mulch com casca de cafí©;Sem cobertura (controle);Tidal sand–mud;Neossolo Quartzarênico;0–10;Available Potassium (AK);54,93;10,1;6;36,28;5,66;6;0,41;mg/kg;Avaliar os efeitos de diferentes resíduos de café (casca e folhas) sobre fisiologia e solo em mudas de café;"Casca de café elevou significativamente o Potássio disponível (AK); estudo de curta duração, realizado em área tropical úmida."
39;2024;10.3390/agronomy14071418;Zhang et al.;Hainan (China);Mulch com casca de cafí©;Sem cobertura (controle);Tidal sand–mud;Neossolo Quartzarênico;0–10;Soil pH;5,76;0,23;6;5,65;0,32;6;0,02;-;Avaliar os efeitos de diferentes resíduos de café (casca e folhas) sobre fisiologia e solo em mudas de café;"Pequeno aumento do pH com casca; variações não significativas para pH entre tratamentos; ambiente úmido influenciou os resultados."
40;2020;10.3390/plants11040545;Stagnari et al.;Itália (Mediterrâneo);Mulch com casca de cafí©;Sem cobertura (controle);Fluvi-Calcaric Cambisol;Cambissolo Háplico;0–20; Soil Organic Carbon (SOC);0,84;0,07;3;0,75;0,06;3;0,11;(%);Avaliar os impactos do plantio direto e rotação de culturas sobre indicadores de qualidade do solo em ambiente mediterrâneo semiárido.;"SOC superior sob ZT+WF; efeitos positivos sobre estrutura do solo, atividade de minhocas e acúmulo de C; sem desvio padrão relatado."
