"Algoritmo","Instrumento","Produto","Aplicacao","Regiao","Periodo","Ano"
"SVM+KNN","Spec","Other","Class+OrgDet","Global","2010-18",2015
"NN","FTIR+Spec","Other","Auth+OrgDet+QC","Global","2022-25",2025
"Other","Other","Honey","Auth+Class+OrgDet+QC","Global","2022-25",2024
"NN","Spec","Other","OrgDet+QC","Global","2022-25",2023
"Other","NIR+LC-MS+Spec","Other","OrgDet+QC","Europe","2022-25",2024
"SVM+KNN","Spec","Other","OrgDet","Global","2022-25",2023
"Other","NIR+Spec","Other","OrgDet+QC","Global","2019-21",2020
"Other","Other","Other","OrgDet","Global","2022-25",2025
"NN","Spec","Other","OrgDet","Asia","2022-25",2024
"RF","Other","Other","OrgDet+QC","Asia","2022-25",2024
"Other","Other","Other","OrgDet","Global","2019-21",2021
"Other","GC-MS","Other","OrgDet+QC","Global","2022-25",2025
"Other","Other","Other","OrgDet+QC","Europe","2022-25",2024
"SVM","Spec","Other","Class+OrgDet+QC","Global","2022-25",2022
"Other","Other","Other","Auth+OrgDet","Global","2022-25",2024
"Other","Other","Other","QC","Europe","2019-21",2020
"Other","NMR","Coffee","OrgDet+QC","Global","2022-25",2023
"SVM","Other","Other","OrgDet","Global","2019-21",2021
"NN","Other","Other","OrgDet","Global","2022-25",2025
"NN","Other","Other","Auth+OrgDet+QC","Asia","2022-25",2024
"Other","Other","Honey","OrgDet","Global","2010-18",2013
"GB+EM","Other","Other","OrgDet","Global","2022-25",2024
"NN","Spec","Other","OrgDet+QC","Global","2022-25",2023
"Other","GC-MS","Other","Class+OrgDet","Global","2022-25",2023
"Other","Other","Honey","Class+OrgDet","Global","2010-18",2012
"Other","Other","Other","OrgDet+QC","Global","2022-25",2025
"NN","LC-MS+Spec","Cheese","Class+OrgDet","Americas","2022-25",2023
"RF+NN+GB","Other","Other","OrgDet","Global","2022-25",2023
"SVM","Other","Other","OrgDet","Global","2019-21",2021
"Other","Other","Other","OrgDet","Global","2022-25",2023
"Other","Spec","Olive","Auth+OrgDet","Global","2019-21",2020
"NN","Spec","Other","OrgDet","Global","2010-18",2014
"Other","Other","Other","OrgDet","Global","2022-25",2025
"Other","Other","Other","OrgDet","Global","2022-25",2023
"NN","Other","Other","OrgDet","Asia","2022-25",2022
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","QC","Europe","2010-18",2015
"NN","FTIR","Wine","OrgDet+QC","Global","2010-18",2015
"Other","Other","Wine","OrgDet+QC","Global","2010-18",2010
"Other","GC-MS+NMR","Other","OrgDet+QC","Global","2010-18",2016
"RF","Other","Other","Class+OrgDet+QC","Asia","2022-25",2023
"NN","Other","Other","OrgDet","Global","2022-25",2025
"Other","Other","Other","Other","Global","2010-18",2011
"Other","Other","Other","Other","Global","2019-21",2020
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2023
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2019-21",2021
"Other","Other","Other","Other","Global","2019-21",2021
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","Other","Global","2010-18",2013
"Other","Other","Other","Other","Global","2010-18",2011
"Other","Other","Other","Other","Global","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","Other","Global","2010-18",2013
"Other","Other","Other","Other","Global","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2023
"Other","Other","Other","Other","Global","2019-21",2021
"Other","Other","Other","Other","Global","2019-21",2021
"Other","LC-MS","Other","Auth+OrgDet+QC","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2010-18",2012
